БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса,Плановая рентабельность
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",12.01.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,20.337,"366,619.67",17 152.45,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",30.12.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,42.118,"674,543.29",15 238.40,5.1
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",30.04.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10419304,Доска-1-хвойная-30х100,КубичМетр,2.664,"2,829.09",1 010.44,5.1
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Майкопская улица 35, Республика Адыгея, Россия",09.07.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.017,"3,240.95",181 738.91,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",26.09.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.015,"2,592.15",164 738.00,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",16.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.009,"1,548.84",164 054.57,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",27.04.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.002,370.58,176 634.01,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",14.04.2016,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.003,542.70,172 449.16,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",30.07.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна,0.002,317.20,151 189.82,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","Майкоп, Республика Адыгея, Россия",11.04.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна,0.028,"5,323.23",181 234.95,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",11.12.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023496,Брус 150Х150мм,КубичМетр,5.000,"120,717.92",23 015.81,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",09.01.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр,4.800,"155,666.08",30 915.57,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",05.10.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр,2.650,"52,472.20",18 875.91,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",30.03.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр,10.800,"140,844.61",12 432.00,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",07.11.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр,22.680,"457,562.28",19 232.32,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",08.03.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1317889,Доска-1-хвойная-50х125,КубичМетр,2.000,"2,435.38",1 160.81,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",16.03.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1106662,Доска-2-осина-50х150 (обрезная),КубичМетр,1.730,"1,922.02",1 059.10,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",31.07.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1311249,Доска-1-хвойная-25х125,КубичМетр,0.106,119.69,1 076.38,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",16.03.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1311249,Доска-1-хвойная-25х125,КубичМетр,3.000,"3,709.31",1 178.68,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",07.08.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1317889,Доска-1-хвойная-50х125,КубичМетр,1.262,"1,651.79",1 247.73,4.9
1221,"ООО ""РН-Туапсинский НПЗ""","район Туапсинский, улица Сочинская, Краснодарский край, Россия",23.07.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1317889,Доска-1-хвойная-50х125,КубичМетр,3.000,"2,886.49",917.22,4.9
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",14.08.2018,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1001933,"Труба б/ш х/д к/ст 8Х1,8-12Х18Н10Т",Тонна,0.100,"18,873.79",180 956.78,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",23.04.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.093,"17,724.44",182 728.04,4.3
1222,ООО РН-Комсомольский НПЗ,"Комсомольск-на-Амуре, Ленинградская улица 115, Хабаровский край, Россия",31.01.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1043490,"Труба б/ш х/д к/ст 8Х1,5-12Х18Н10Т",Тонна,0.002,346.93,166 315.59,4.3
