БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса,Плановая рентабельность
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,11.05.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,1.000,"1,309.71",1 250.92,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,01.01.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,1.000,"1,001.49",956.53,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,23.01.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,1.000,"1,113.41",1 063.43,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,11.01.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,2.000,"2,707.52",1 292.99,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,13.10.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,1.500,"42,014.79",26 752.49,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,15.01.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,2.000,"2,344.84",1 119.79,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,18.12.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,2.000,"1,899.26",907.00,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,05.01.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,3.000,"3,092.82",984.66,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,22.09.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,5.790,"6,419.98",1 059.03,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,21.01.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,1.000,"1,116.75",1 066.62,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,25.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,2.000,"2,233.10",1 066.43,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,27.01.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,1.500,"50,832.80",32 367.27,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,10.04.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,3.500,"3,367.82",919.04,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,31.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,3.500,"4,137.73",1 129.14,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,28.05.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,0.750,839.42,1 068.98,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,25.05.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,0.900,989.88,1 050.49,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,16.05.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,0.250,"3,691.02",14 101.33,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,15.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,2.000,"2,184.88",1 043.40,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,09.11.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,0.500,"16,043.56",30 646.73,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,21.07.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,0.010,12.02,1 147.98,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,19.03.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,4.000,"5,167.91",1 233.98,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,31.07.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,16.000,"19,368.33",1 156.18,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,17.11.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,0.500,574.79,1 097.97,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,12.08.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,1.500,"32,712.31",20 829.23,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,05.10.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,3.000,"3,050.13",971.07,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,15.05.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,3.000,"3,823.10",1 217.16,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,26.06.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,0.500,602.47,1 150.85,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,08.04.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,1.500,"1,477.20",940.59,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,05.12.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,0.150,191.06,1 216.58,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,11.12.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,0.300,331.92,1 056.73,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,19.07.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1054113,Доска-1-хвойная-25 (необрезная),КубичМетр,138.300,"147,315.28",1 017.37,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,05.05.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,13.780,"16,140.22",1 118.70,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,29.01.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,30.000,"32,571.54",1 036.98,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,07.04.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,41.200,"51,041.58",1 183.26,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,05.04.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,40.000,"44,627.75",1 065.61,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,30.04.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,40.000,"49,582.57",1 183.92,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,20.06.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,37.000,"48,379.59",1 248.86,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,31.08.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,119.940,"3,527,484.33",28 090.17,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,01.01.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,54.060,"1,072,446.30",18 947.54,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,13.02.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,86.400,"1,269,923.09",14 038.38,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,14.05.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,30.540,"825,050.50",25 802.68,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,03.11.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,133.440,"4,877,072.09",34 908.12,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,19.05.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,47.520,"1,657,392.07",33 312.11,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,29.04.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,47.520,"1,623,387.08",32 628.64,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,13.02.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,36.700,"1,150,781.57",29 948.85,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,19.03.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,45.540,"1,134,964.22",23 803.59,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,07.05.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,47.840,"1,016,557.22",20 295.23,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,28.07.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,5.000,"6,759.90",1 291.29,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,02.12.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070507,Доска-2-хвойная-40 (необрезная),КубичМетр,0.700,707.70,965.61,4.7
1244,"ООО ""РН-Бурение""",АО Ханты-Мансийский Автономный округ - Югра     ул Индустриальная,05.09.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10320960,"Полубрус хвойный 2-го сорта, 200х200мм",КубичМетр,0.500,558.28,1 066.43,4.7
1244,"ООО ""РН-Бурение""","Оренбург, Улица Донгузская 3-й проезд, дом 3, Оренбургская область, Россия",22.12.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041052,Доска-1-хвойная-30х150,КубичМетр,4.960,"5,211.19",1 003.48,4.7
1244,"ООО ""РН-Бурение""","Оренбург, Улица Донгузская 3-й проезд, дом 3, Оренбургская область, Россия",28.08.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,13.000,"14,269.36",1 048.37,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,16.09.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,5.000,"5,440.32",1 039.22,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,20.08.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,2.300,"2,187.71",908.48,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,07.04.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,7.000,"8,897.99",1 214.08,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,05.07.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,8.000,"8,216.86",981.00,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,15.09.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,2.500,"2,483.48",948.80,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,15.01.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,1.300,"1,474.67",1 083.44,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,15.09.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1125930,Брус-1-хвойный-50х70,КубичМетр,2.000,"69,474.98",33 178.12,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,27.09.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1125930,Брус-1-хвойный-50х70,КубичМетр,1.400,"17,838.80",12 170.01,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,03.09.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр,2.000,"66,933.03",31 964.20,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,21.02.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,3.000,"3,700.07",1 177.99,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,24.05.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр,3.000,"94,521.33",30 092.75,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,18.11.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,13.000,"12,538.59",921.21,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,05.07.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,7.000,"7,662.54",1 045.51,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,20.11.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1343817,Вагонка-Доска обрезн.сосна 13х90х2600,Штука,1 300.000,"1,562,515.58",1 147.98,4.7
1244,"ООО ""РН-Бурение""",обл Оренбургская     ул Магистральная,23.12.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр,25.000,"779,004.38",29 761.39,4.7
1244,"ООО ""РН-Бурение""","Усинск, Возейская улица, дом 24, Ресублика Коми, Россия",11.11.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр,2.000,"51,789.65",24 732.40,4.7
1244,"ООО ""РН-Бурение""","Усинск, Возейская улица, дом 24, Ресублика Коми, Россия",01.09.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1125930,Брус-1-хвойный-50х70,КубичМетр,2.958,"68,903.50",22 248.28,4.7
1244,"ООО ""РН-Бурение""","Усинск, Возейская улица, дом 24, Ресублика Коми, Россия",26.05.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1250751,Вагонка-Доска обрезн.липа 88х15х3000мм,Штука,250.000,"328,710.89",1 255.82,4.7
1244,"ООО ""РН-Бурение""","Усинск, Возейская улица, дом 24, Ресублика Коми, Россия",15.03.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1343817,Вагонка-Доска обрезн.сосна 13х90х2600,Штука,460.000,"467,686.73",971.07,4.7
1244,"ООО ""РН-Бурение""","Усинск, Возейская улица, дом 24, Ресублика Коми, Россия",26.06.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1574722,Брус-1-хвойный-25х50,КубичМетр,4.000,"60,890.92",14 539.38,4.7
1244,"ООО ""РН-Бурение""","Усинск, Возейская улица, дом 24, Ресублика Коми, Россия",20.02.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр,2.000,"51,401.10",24 546.85,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",13.05.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,2.400,"2,906.25",1 156.58,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",01.09.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,2.000,"2,628.79",1 255.39,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",13.05.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057410,Доска-1-хвойная-30 (необрезная),КубичМетр,2.800,"2,898.15",988.59,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",26.10.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,0.800,843.35,1 006.87,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",13.04.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,5.000,"5,760.65",1 100.41,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",02.07.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1055262,Доска-1-хвойная-50 (необрезная),КубичМетр,0.700,820.35,1 119.32,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",06.01.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057410,Доска-1-хвойная-30 (необрезная),КубичМетр,1.800,"2,015.82",1 069.63,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",26.07.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057410,Доска-1-хвойная-30 (необрезная),КубичМетр,3.000,"3,505.80",1 116.14,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",18.05.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057410,Доска-1-хвойная-30 (необрезная),КубичМетр,10.000,"10,152.13",969.64,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",01.10.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,2.020,"2,416.89",1 142.77,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",17.03.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,10.000,"12,418.26",1 186.08,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",21.02.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,5.000,"5,456.75",1 042.36,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",17.08.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,1.700,"2,082.00",1 169.73,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",07.05.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,1.780,"2,257.23",1 211.18,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",20.08.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070505,Доска-1-хвойная-40 (необрезная),КубичМетр,0.220,292.95,1 271.83,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",25.07.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1191449,Доска-2-береза-40 (необрезная),КубичМетр,1.000,"1,289.67",1 231.78,4.7
1244,"ООО ""РН-Бурение""","с. Жуково, Уфимский район, Центральная улица, 75 к4, Республика Башкортостан, Россия",11.05.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304042,Доска-2-береза-50 (необрезная),КубичМетр,1.000,"1,275.95",1 218.67,4.7
1244,"ООО ""РН-Бурение""","Ханты-Мансийск, ул. Свободы 1, Ханты-Мансийский автономный округ – Югра, Россия",16.12.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр,1.050,"27,621.83",25 125.60,4.7
1244,"ООО ""РН-Бурение""","Ханты-Мансийск, ул. Свободы 1, Ханты-Мансийский автономный округ – Югра, Россия",30.11.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр,5.100,"121,087.15",22 676.77,4.7
1244,"ООО ""РН-Бурение""","Ханты-Мансийск, ул. Свободы 1, Ханты-Мансийский автономный округ – Югра, Россия",22.02.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр,1.000,"27,637.28",26 396.64,4.7
1244,"ООО ""РН-Бурение""","Ханты-Мансийск, ул. Свободы 1, Ханты-Мансийский автономный округ – Югра, Россия",04.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр,0.740,"16,502.42",21 299.49,4.7
1244,"ООО ""РН-Бурение""","Ханты-Мансийск, ул. Свободы 1, Ханты-Мансийский автономный округ – Югра, Россия",28.06.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10060577,Доска-1-хвойная-30х100 6000мм,КубичМетр,5.240,"5,175.43",943.34,4.7
1244,"ООО ""РН-Бурение""","Ханты-Мансийск, ул. Свободы 1, Ханты-Мансийский автономный округ – Югра, Россия",23.11.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр,11.550,"11,321.69",936.23,4.7
1244,"ООО ""РН-Бурение""","Ханты-Мансийск, ул. Свободы 1, Ханты-Мансийский автономный округ – Югра, Россия",09.05.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039816,Брус-1-хвойный-50х100,КубичМетр,5.004,"149,477.54",28 530.67,4.7
