БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1808,РН-Смазочные материалы,"Рязань, Район Южный Промузел, Рязанская область, Россия",24.06.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 12.000"," 0.055",19326.6282,"29 282.77 "
1808,РН-Смазочные материалы,"Рязань, Район Южный Промузел, Рязанская область, Россия",23.01.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1191449,Доска-2-береза-40 (необрезная),КубичМетр," 10.000"," 0.055",559.834,"1 017.88 "
1808,РН-Смазочные материалы,"Рязань, Район Южный Промузел, Рязанская область, Россия",02.04.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр," 24.000"," 0.055",1687.4484,"1 278.37 "
1808,РН-Смазочные материалы,"Рязань, Район Южный Промузел, Рязанская область, Россия",14.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1309666,Доска-1-хвойная-20х150,КубичМетр," 24.000"," 0.055",1449.1884,"1 097.87 "
1808,РН-Смазочные материалы,"Рязань, Район Южный Промузел, Рязанская область, Россия",18.01.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1510331,Доска-2-хвойная-20 (необрезная),КубичМетр," 10.000"," 0.055",652.608,"1 186.56 "
