БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1745,"АО ""Тюменнефтегаз""","Ханты-Мансийск, Россия",11.03.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1494556,Доска-1-хвойная-28х145 (3000мм),Штука,1 018.000," 0.042",41848.71768," 978.78 "
1745,"АО ""Тюменнефтегаз""","Ханты-Мансийск, Россия",24.05.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1494556,Доска-1-хвойная-28х145 (3000мм),Штука,4 220.000," 0.042",223302.9036,"1 259.89 "
1745,"АО ""Тюменнефтегаз""","Ханты-Мансийск, Россия",27.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1494556,Доска-1-хвойная-28х145 (3000мм),Штука,10 357.000," 0.042",491243.0741,"1 129.31 "
1745,"АО ""Тюменнефтегаз""","Ханты-Мансийск, Россия",21.02.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1494556,Доска-1-хвойная-28х145 (3000мм),Штука,1 640.000," 0.042",63784.9464," 926.03 "
