БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",25.06.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна," 0.035"," 0.042",235.2870828,"160 059.24 "
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",13.03.2025,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1783602,"Труба б/ш х/д 8Х2,5 В ст20",Тонна," 0.048"," 0.042",361.0120147,"179 073.42 "
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",27.02.2023,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна," 0.030"," 0.042",213.8465196,"169 719.46 "
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",31.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,2255468,Втулка закрепительная H320 SKF,Штука," 2.000"," 0.042",193.76112,"2 306.68 "
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",23.01.2015,20,Подшипники,20-980400,Втулки к подшипникам,1412683,Втулка подшипника Н 3040 SKF,Штука," 4.000"," 0.042",284.6004,"1 694.05 "
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",21.05.2017,20,Подшипники,20-980400,Втулки к подшипникам,1269432,Втулка подшипника Н 316 SKF,Штука," 2.000"," 0.042",130.7124,"1 556.10 "
1301,"АО ""Ангарский ЗП""","Ангарск, Первый промышленный массив (8-й квартал) квартал 1, Иркутская область, Россия",16.10.2015,20,Подшипники,20-980400,Втулки к подшипникам,1269432,Втулка подшипника Н 316 SKF,Штука," 2.000"," 0.042",199.48908,"2 374.87 "
