БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1B64,"ООО ""Соровскнефть""","посёлок Кедровый, Сургут, Ханты-Мансийский автономный округ ",08.05.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1438771,Доска-1-хвойная-50х100,КубичМетр," 2.000"," 0.043",77.5591," 901.85 "
1B64,"ООО ""Соровскнефть""","посёлок Кедровый, Сургут, Ханты-Мансийский автономный округ ",17.03.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 1.000"," 0.043",1171.85234,"27 252.38 "
1B64,"ООО ""Соровскнефть""","посёлок Кедровый, Сургут, Ханты-Мансийский автономный округ ",26.10.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1980928,Доска-1-хвойная-50х150х6000мм,Штука," 30.000"," 0.043",1396.1541,"1 082.29 "
1B64,"ООО ""Соровскнефть""","посёлок Кедровый, Сургут, Ханты-Мансийский автономный округ ",05.06.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1438771,Доска-1-хвойная-50х100,КубичМетр," 8.000"," 0.043",379.01232,"1 101.78 "
1B64,"ООО ""Соровскнефть""","посёлок Кедровый, Сургут, Ханты-Мансийский автономный округ ",15.06.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1438771,Доска-1-хвойная-50х100,КубичМетр," 6.000"," 0.043",266.80038,"1 034.11 "
