БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",28.01.2021,20,Подшипники,20-980400,Втулки к подшипникам,10451630,Втулка закрепительная H312 ZWZ,Штука," 2.000"," 0.040",184.6168,"2 307.71 "
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",04.07.2015,20,Подшипники,20-980400,Втулки к подшипникам,10451642,Втулка закрепительная H322 ZWZ,Штука," 2.000"," 0.040",161.7464,"2 021.83 "
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",15.07.2020,20,Подшипники,20-980400,Втулки к подшипникам,10451630,Втулка закрепительная H312 ZWZ,Штука," 8.000"," 0.040",585.7088,"1 830.34 "
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",04.03.2020,20,Подшипники,20-980400,Втулки к подшипникам,1703377,Втулка закрепительная Н2313 SKF,Штука," 4.000"," 0.040",479.992,"2 999.95 "
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",21.02.2019,20,Подшипники,20-980400,Втулки к подшипникам,1703377,Втулка закрепительная Н2313 SKF,Штука," 12.000"," 0.040",1297.44,"2 703.00 "
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",25.11.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр," 18.000"," 0.040",21780.4104,"30 250.57 "
