БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1B97,"ООО ""РН-Транспорт""","Усинск, Республика Коми",28.09.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр," 7.820"," 0.044",347.2076872,"1 009.09 "
1B97,"ООО ""РН-Транспорт""","Усинск, Республика Коми",16.09.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр," 8.761"," 0.044",480.2436769,"1 245.82 "
1B97,"ООО ""РН-Транспорт""","Усинск, Республика Коми",25.07.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 11.640"," 0.044",8483.699928,"16 564.55 "
1B97,"ООО ""РН-Транспорт""","Отрадный, Самарская область, Россия",12.09.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр," 0.060"," 0.044",90.2321112,"34 178.83 "
1B97,"ООО ""РН-Транспорт""","Отрадный, Самарская область, Россия",27.08.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041052,Доска-1-хвойная-30х150,КубичМетр," 19.820"," 0.044",842.4816048," 966.06 "
1B97,"ООО ""РН-Транспорт""","Отрадный, Самарская область, Россия",29.08.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр," 7.920"," 0.044",417.9007008,"1 199.21 "
