БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Плановая рентабельность,Стоимость запасов,Цена запаса
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",26.11.2017,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.135"," 0.050",1213.342133,"179 754.39 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",09.12.2015,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.154"," 0.050",1458.006627,"189 351.51 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",17.09.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.002"," 0.050",18.648062,"186 480.62 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",14.10.2023,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.054"," 0.050",498.475647,"184 620.61 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",05.06.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.005"," 0.050",42.318435,"169 273.74 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",29.05.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.042"," 0.050",344.651223,"164 119.63 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",18.01.2021,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.034"," 0.050",301.463142,"177 331.26 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",16.08.2020,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна," 0.052"," 0.050",409.811558,"157 619.83 "
1299,"АО ""Ачинский НПЗ ВНК""","промышленный район промзона НПЗ, 1, Большеулуйский сельсовет, Ачинский район, Красноярский край, Россия",12.04.2022,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1001933,"Труба б/ш х/д к/ст 8Х1,8-12Х18Н10Т",Тонна," 0.090"," 0.050",825.49791,"183 443.98 "
