БЕ (балансовая единица) держателя запаса,Наименование дочернего Общества',Филиал Общества (при наличии),"Адрес склада (Город, район)",Классы МТР,Наименование класса',Подклассы МТР ,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,"Стоимость запасов, руб (показывается сумма для продажи)"
1299,"АО ""Ачинский НПЗ ВНК""",,"край Красноярский, Ул Борисова 16а",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.002,
1299,"АО ""Ачинский НПЗ ВНК""",,"край Красноярский, Ул Борисова 16а",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.054,
1299,"АО ""Ачинский НПЗ ВНК""",,"край Красноярский, Ул Борисова 16а",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.005,
1299,"АО ""Ачинский НПЗ ВНК""",,"край Красноярский, Ул Борисова 16а",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.042,
1299,"АО ""Ачинский НПЗ ВНК""",,"край Красноярский, Ул Борисова 16а",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.034,
1299,"АО ""Ачинский НПЗ ВНК""",,"край Красноярский, Ул Борисова 16а",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.052,
1299,"АО ""Ачинский НПЗ ВНК""",,"край Красноярский, Ул Борисова 16а",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1001933,"Труба б/ш х/д к/ст 8Х1,8-12Х18Н10Т",Тонна, 0.090,
1301,"АО ""Ангарский ЗП""",,обл Иркутская   массив Первый промышленный кв-л 8-й,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.035,
1301,"АО ""Ангарский ЗП""",,обл Иркутская   массив Первый промышленный кв-л 8-й,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1783602,"Труба б/ш х/д 8Х2,5 В ст20",Тонна, 0.048,
1301,"АО ""Ангарский ЗП""",,обл Иркутская   массив Первый промышленный кв-л 8-й,01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1480096,Труба б/ш х/д к/ст 8Х2-12Х18Н10Т,Тонна, 0.030,
1329,"АО ""Куйбышевский НПЗ""",,"АО ""Самара-Волго г. Самара, Московское ш., д. 55",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1702636,Труба б/ш х/д 8Х2 В ст20,Тонна, 0.070,
1329,"АО ""Куйбышевский НПЗ""",,"АО ""Самара-Волго г. Самара, Московское ш., д. 55",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.063,
1329,"АО ""Куйбышевский НПЗ""",,"АО ""Самара-Волго г. Самара, Московское ш., д. 55",01,Трубы металлические,01-010100,Трубы б/ш н/п и общ. назнач. ф8,1073298,Труба б/ш х/д к/ст 8Х1-12Х18Н10Т,Тонна, 0.002,
