БЕ,Наименование дочернего Общества,Адрес склада,Дата поступления,Классы МТР,Наименование класса,Подклассы МТР,Наименование подкласса,КСМ (код материала),Наименование материала,БЕИ (единица измерения),Количество,Стоимость запасов,Цена запаса
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",28.09.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр,1.830,"53,392.37",29 176.16
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",10.03.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1620602,Доска-1-хвойная-40х100,КубичМетр,0.800,761.90,952.37
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",01.07.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2334992,Доска обрезная хв/п 25х150х6000мм,КубичМетр,0.800,967.38,1 209.22
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",19.11.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056129,Доска-2-хвойная-50х150,КубичМетр,1.000,"1,162.97",1 162.97
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",05.02.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1104513,Доска-2-лиственница-40х150 (обрезная),КубичМетр,2.000,"2,053.18",1 026.59
1298,"АО ""АНХК""","Ангарск, 63-й промквартал микрорайон, Промзона АНХК, 1407, Иркутская область, Россия",05.01.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2314499,Доска-1-лиственница-50х150 (обрезная),КубичМетр,7.000,"7,166.88",1 023.84
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",30.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1117751,Пиломатериал-3-осина -150х50 (обрезной),КубичМетр,3.000,"2,846.16",948.72
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",17.12.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1527694,Брус-2-сосна-150х150,КубичМетр,1.930,"35,732.71",18 514.36
1298,"АО ""АНХК""","Ангарск, кв-л Л, 63, Иркутская область, Россия",18.08.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1117751,Пиломатериал-3-осина -150х50 (обрезной),КубичМетр,24.000,"24,429.12",1 017.88
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, улица Осипенко 12, Самарская область, Россия",21.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1575043,Доска-1-хвойная-50х200,КубичМетр,10.020,"12,686.72",1 266.14
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",22.02.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1040752,Брус-1-хвойный-40х40,КубичМетр,60.000,"1,866,585.60",31 109.76
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",25.05.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр,110.000,"3,159,184.60",28 719.86
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",27.02.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1501672,Доска-1-хвойная-28 (необрезная),КубичМетр,320.000,"341,974.40",1 068.67
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",18.02.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10325253,"Брусок-1-хвойный-50х50мм, 3000мм",Штука,160.000,"151,795.20",948.72
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",04.12.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10384354,"Доска-2-хвойная-21х90мм, 6000мм",Штука,50.000,"58,512.50",1 170.25
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, Промышленная улица 7а , Самарская область, Россия",04.09.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10384802,"Брус-2-хвойный-45х96мм, 6000м",Штука,72.500,"73,796.30",1 017.88
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",27.07.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1289299,Брус-1-хвойный-40х40мм 3м,Штука,3.000,"3,835.11",1 278.37
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",15.05.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1563321,Доска-1-хвойная-50х200 (6000мм),Штука,14.000,"15,370.18",1 097.87
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",16.11.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2038987,Доска-2-хвойная-13,КубичМетр,71.000,"91,693.66",1 291.46
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",22.02.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр,9.180,"304,294.60",33 147.56
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",17.11.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070615,Брус-2-хвойный-200х200,КубичМетр,3.120,"108,763.42",34 860.07
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",05.09.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10325253,"Брусок-1-хвойный-50х50мм, 3000мм",Штука,2.000,"2,212.78",1 106.39
1328,"АО ""Новокуйбышевский НПЗ""","Новокуйбышевск, ул. Осипенко 12, Самарская область, Россия",03.04.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр,0.300,"9,496.41",31 654.70
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",11.05.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047318,Доска-1-хвойная-25х150,КубичМетр,3.800,"3,829.34",1 007.72
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",25.11.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1157408,Доска-1-береза-50х150 (обрезная),КубичМетр,1.850,"1,711.10",924.92
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",15.09.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2595771,Доска-1-сосна-50х150,КубичМетр,1.730,"1,810.51",1 046.54
1329,"АО ""Куйбышевский НПЗ""","Самара, улица Грозненская 25, Самарская область, Россия",06.09.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10220418,Доска-1-сосна-40х150,КубичМетр,8.858,"9,812.10",1 107.71
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",05.05.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039814,Брус-2-хвойный-50х100,КубичМетр,6.200,"182,097.72",29 370.60
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",13.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр,9.680,"9,368.50",967.82
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",21.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10137038,Доска-2-хвойная-25х100,КубичМетр,0.200,226.55,1 132.77
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",05.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039814,Брус-2-хвойный-50х100,КубичМетр,0.500,"11,901.11",23 802.21
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",31.08.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр,0.200,185.41,927.07
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",16.09.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,2.000,"27,095.56",13 547.78
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",17.10.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039816,Брус-1-хвойный-50х100,КубичМетр,0.500,"7,521.37",15 042.74
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",26.09.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039816,Брус-1-хвойный-50х100,КубичМетр,2.000,"68,710.82",34 355.41
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",17.08.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр,16.400,"19,620.30",1 196.36
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",18.03.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр,9.620,"11,109.95",1 154.88
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",27.02.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039814,Брус-2-хвойный-50х100,КубичМетр,4.400,"116,747.18",26 533.45
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",21.08.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039814,Брус-2-хвойный-50х100,КубичМетр,2.425,"68,715.67",28 336.36
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",26.12.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10137038,Доска-2-хвойная-25х100,КубичМетр,17.365,"20,121.00",1 158.71
1330,"АО ""Сызранский НПЗ""","Сызрань, ул. Астраханская 1, Самарская область, Россия",10.06.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10137038,Доска-2-хвойная-25х100,КубичМетр,3.880,"4,792.61",1 235.21
1331,"АО ""Отрадненский ГПЗ""","Отрадный, Самарская область, Россия",20.07.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1139971,Доска-2-лиственница-50х200 (обрезная),КубичМетр,0.520,529.13,1 017.56
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",04.05.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,0.014,16.19,1 156.70
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",06.11.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041060,Брус-2-хвойный-50х50,КубичМетр,2.000,"27,840.34",13 920.17
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",07.08.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,0.014,15.95,1 139.29
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",02.03.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,1.486,"1,556.50",1 047.44
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",24.01.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1039816,Брус-1-хвойный-50х100,КубичМетр,10.000,"221,645.30",22 164.53
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",08.05.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр,2.000,"65,710.50",32 855.25
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",29.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр,7.570,"84,691.34",11 187.76
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",20.10.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр,10.000,"206,870.90",20 687.09
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",01.01.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041060,Брус-2-хвойный-50х50,КубичМетр,1.700,"56,952.40",33 501.41
1344,НовокуйбЗаводМаселИПрис,"Самара, Производственная улица 2 , Самарская область, Россия",05.01.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1309666,Доска-1-хвойная-20х150,КубичМетр,6.300,"7,515.46",1 192.93
1364,"АО ""АЗК и ОС""","Ангарск, Иркусткая область, Россия",01.07.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,9010516,Доска обрезная хв/п25х150х4000мм антисеп,КубичМетр,2.820,"3,006.71",1 066.21
1781,"АО ""Рязанская НПК""","Рязань, ул. Южный промузел 8, Рязанская область, Россия",25.11.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,18.000,"544,510.26",30 250.57
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",08.07.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1575043,Доска-1-хвойная-50х200,КубичМетр,0.800,736.21,920.26
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",11.01.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041059,Брус-1-хвойный-50х50,КубичМетр,0.500,"15,230.61",30 461.21
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",15.04.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1303969,Доска-1-береза-50 (необрезная),КубичМетр,3.000,"2,773.77",924.59
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",16.02.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070502,Брус-1-хвойный-150х200,КубичМетр,2.000,"37,470.54",18 735.27
1A63,"АО ""ННК""","Новокуйбышевск, ул. Промышленная, Самарская область, Россия",10.10.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,9026004,Доска обрезная хв/п 40х200х6000мм,КубичМетр,0.288,343.16,1 191.52
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",26.02.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057421,Доска-2-хвойная-30 (необрезная),КубичМетр,1.125,"1,399.42",1 243.93
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",04.11.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2497523,Доска-2-хвойная-50 (необрезная),КубичМетр,3.000,"3,279.00",1 093.00
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",30.04.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр,1.000,"1,091.14",1 091.14
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",04.06.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр,1.150,"1,125.60",978.78
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",12.02.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1070501,Брус-2-хвойный-150х200,КубичМетр,1.640,"44,814.57",27 325.96
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",06.10.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1732745,Брус-2-хвойный-150х150,КубичМетр,2.000,"22,292.06",11 146.03
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",23.03.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1057421,Доска-2-хвойная-30 (необрезная),КубичМетр,2.000,"1,852.06",926.03
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",09.08.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2497523,Доска-2-хвойная-50 (необрезная),КубичМетр,39.194,"37,788.50",964.14
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",19.06.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр,6.100,"7,065.63",1 158.30
1B66,"ПАО ""Уфаоргсинтез""","Уфа, Бирский тракт 2к5, Республика Башкортостан, Россия",04.08.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10145661,Доска-3-береза-40х150 (обрезная),КубичМетр,7.000,"7,918.26",1 131.18
1B97,"ООО ""РН-Транспорт""","Усинск, Республика Коми",28.09.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1038425,Доска-2-хвойная-40х150,КубичМетр,7.820,"7,891.08",1 009.09
1B97,"ООО ""РН-Транспорт""","Усинск, Республика Коми",16.09.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр,8.761,"10,914.63",1 245.82
1B97,"ООО ""РН-Транспорт""","Усинск, Республика Коми",25.07.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр,11.640,"192,811.36",16 564.55
1B97,"ООО ""РН-Транспорт""","Отрадный, Самарская область, Россия",12.09.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1059585,Брус-2-хвойный-100Х100,КубичМетр,0.060,"2,050.73",34 178.83
1B97,"ООО ""РН-Транспорт""","Отрадный, Самарская область, Россия",27.08.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1041052,Доска-1-хвойная-30х150,КубичМетр,19.820,"19,147.31",966.06
1B97,"ООО ""РН-Транспорт""","Отрадный, Самарская область, Россия",29.08.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056130,Доска-1-хвойная-50х150,КубичМетр,7.920,"9,497.74",1 199.21
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",16.04.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,1.150,"21,800.79",18 957.21
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",13.11.2015,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10419304,Доска-1-хвойная-30х100,КубичМетр,5.336,"4,848.61",908.66
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",19.06.2024,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,3.000,"3,670.59",1 223.53
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.10.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,4.000,"4,744.88",1 186.22
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",23.08.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,7.151,"8,945.47",1 250.94
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",31.08.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1018599,Доска обрезная 30мм,КубичМетр,10.162,"12,028.66",1 183.69
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",25.05.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,1.000,"11,069.17",11 069.17
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",08.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,4.000,"44,354.48",11 088.62
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",06.12.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,42.070,"700,547.12",16 651.94
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.06.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,6.000,"127,418.94",21 236.49
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",22.02.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1023494,Брус-1-хвойный-100х100,КубичМетр,15.000,"512,700.90",34 180.06
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",27.07.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1047320,Доска-2-хвойная-25х150,КубичМетр,20.000,"18,548.40",927.42
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",01.04.2021,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1056129,Доска-2-хвойная-50х150,КубичМетр,20.000,"20,789.20",1 039.46
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",21.11.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1125930,Брус-1-хвойный-50х70,КубичМетр,5.845,"82,039.72",14 035.88
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",12.01.2025,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1158201,Доска-2-сосна-40х200,КубичМетр,3.985,"4,118.14",1 033.41
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",21.01.2020,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1980928,Доска-1-хвойная-50х150х6000мм,Штука,100.000,"113,929.00",1 139.29
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",13.06.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,3.600,"43,522.16",12 089.49
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",12.12.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,2.016,"40,870.61",20 273.12
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",31.01.2022,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,29.952,"560,017.34",18 697.16
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",12.01.2016,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,20.337,"348,829.38",17 152.45
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",30.12.2019,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,2461642,Брус-2-хвойный-60х200,КубичМетр,42.118,"641,810.93",15 238.40
1214,"ООО ""РН-Юганскнефтегаз""","посёлок Каркатеевы, Нефтеюганский район, Ханты-Мансийский автономный округ, Россия",30.04.2018,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10419304,Доска-1-хвойная-30х100,КубичМетр,2.664,"2,691.81",1 010.44
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",19.06.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1104513,Доска-2-лиственница-40х150 (обрезная),КубичМетр,8.064,"8,454.30",1 048.40
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",23.08.2017,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,1304045,Доска-1-осина-50х150 (обрезная),КубичМетр,7.200,"6,543.72",908.85
1232,"AO ""ВЧНГ""","п. геологов Куччугуй-Оннюэс, Иркутская область, Россия",02.10.2023,34,Продукция лесной и  деревообрабат.пром.,34-020000,Пиломатериалы,10148495,Доска-2-сосна-100х100,КубичМетр,13.200,"14,068.56",1 065.80
